Staff_ID,Name,Role,Department,Shift,Phone,Email,Salary,Hire_Date,Status
8052,Cheryl Werner MD,Receptionist,Ortho,Morning,+1-503-343-5036x64044,kcervantes@example.org,46384,5/18/2025,Active
8053,Lisa Duran,Cleaner,Pedia,Evening,001-277-392-5786x426,oparrish@example.org,47572,4/12/2023,Active
8054,Emily Medina,Nurse,Cardio,Evening,726.348.0606x122,ian38@example.net,77174,9/25/2024,Active
8055,Erika Stewart,Pharmacist,Pedia,Night,441.254.2152x34876,alexajohnson@example.net,28956,8/19/2021,Active
8056,Brandon Cannon,Pharmacist,Ortho,Morning,(304)611-3645,suzanne60@example.org,77265,11/10/2023,Active
8057,Gerald Rasmussen MD,Pharmacist,Ortho,Morning,543-503-7801,autumn58@example.org,77024,4/3/2024,Resigned
8058,Margaret Foster,Nurse,Ortho,Evening,834-426-0549,traceybrown@example.org,36431,5/14/2022,Resigned
8059,Olivia Gill,Pharmacist,Cardio,Night,4393560766,marcus49@example.net,76438,10/19/2024,Resigned
8060,Marvin Perez,Nurse,Ortho,Morning,001-882-498-4386x6075,ricky02@example.net,61369,12/21/2023,Active
8061,Carol Gutierrez,Pharmacist,Pedia,Night,+1-211-655-5630x353,charles09@example.net,22684,9/21/2023,Resigned
8062,Aaron Caldwell,Cleaner,Pedia,Evening,+1-492-584-0725x681,kdavis@example.net,68160,3/2/2023,Resigned
8063,Cynthia Evans,Pharmacist,Onco,Night,(925)402-2237,bryangraham@example.net,35060,9/26/2023,Active
8064,Rachel Smith,Receptionist,Onco,Morning,558.617.4872x939,evan36@example.com,56049,4/15/2022,Resigned
8065,Whitney Anderson,Cleaner,Cardio,Evening,847-668-4435,barry49@example.org,60842,7/27/2022,Resigned
8066,Donald Franco,Cleaner,Cardio,Morning,-1486,cunninghamcory@example.net,32680,7/2/2022,Active
8067,Gwendolyn Smith,Receptionist,Neuro,Night,001-954-595-7310x275,jilliansanchez@example.com,40988,2/7/2023,Resigned
8068,Jill Howard,Technician,Pedia,Night,426.490.6526x527,mmiles@example.com,46477,4/22/2024,Active
8069,Melissa Ramirez,Pharmacist,Ortho,Evening,696.705.8855,charles57@example.com,30486,7/31/2025,Resigned
8070,Tracy Mcintyre,Nurse,Pedia,Morning,001-628-470-7298x1707,anna33@example.com,39761,10/26/2024,Active
8071,Troy Morales,Pharmacist,Ortho,Evening,704-416-3385,kathryn93@example.net,39227,2/7/2023,Active
8072,Beverly Thompson,Nurse,Pedia,Evening,001-946-400-3476x06728,sosamegan@example.org,63134,8/10/2025,Active
8073,Monica Ryan,Receptionist,Neuro,Morning,(498)634-3915x144,dana99@example.net,22480,2/15/2025,Active
8074,Anthony Thomas,Technician,Pedia,Night,270-204-4373x29159,brownkimberly@example.org,34412,2/28/2023,Active
8075,Breanna Wilson,Pharmacist,Onco,Evening,(576)791-7129,marcus50@example.net,44049,1/2/2022,Active
8076,Andrew Wilson,Nurse,Pedia,Evening,001-952-260-5044x03177,janicehancock@example.net,51242,6/14/2023,Resigned
8077,Kathleen Chavez,Pharmacist,Ortho,Evening,(465)831-6575x7308,joshua52@example.org,31697,7/17/2024,Active
8078,Kristen Miller,Nurse,Pedia,Morning,001-480-861-2515,jasonjackson@example.org,49458,8/7/2022,Active
8079,Lisa Cross,Pharmacist,Onco,Night,387.534.0285x862,kyoung@example.net,74389,1/23/2023,Active
8080,Michael Wheeler,Technician,Cardio,Evening,001-240-568-6760x873,victorfox@example.org,22300,5/12/2024,Active
8081,Stephanie Jackson,Pharmacist,Onco,Evening,234.443.9052x491,scottduffy@example.com,53588,12/6/2020,Active
8082,Laura Ibarra,Cleaner,Pedia,Evening,(665)726-1371x53610,patriciaperry@example.org,22227,1/10/2024,Active
8083,Angela Murray,Cleaner,Pedia,Evening,423-799-8490x9661,matthewdecker@example.net,34861,12/22/2022,Resigned
8084,Rebecca Ortiz,Receptionist,Cardio,Night,515-373-0028x48400,patrickmanuel@example.net,46181,8/5/2025,Active
8085,Charles Alexander,Receptionist,Pedia,Night,945.961.9476,james75@example.net,57394,1/23/2023,Resigned
8086,Eddie Hammond,Receptionist,Ortho,Morning,3368549137,tiffanymccoy@example.com,41968,6/1/2024,Active
8087,Michelle Martin,Nurse,Cardio,Night,001-614-579-7455x89398,nicole53@example.com,76771,11/5/2022,Resigned
8088,Megan Sandoval,Nurse,Onco,Morning,388-886-0923x668,diana49@example.com,36220,10/17/2023,Active
8089,Anna Lopez,Pharmacist,Pedia,Night,420.710.6601x7242,crystal94@example.com,79045,9/1/2022,Active
8090,Lisa Ellison,Receptionist,Cardio,Evening,(811)977-6778x7853,johnsonjamie@example.org,38092,11/16/2022,Active
8091,Kendra Gonzalez,Cleaner,Ortho,Night,541-861-0601x8357,huntersamantha@example.com,22706,1/23/2025,Active
8092,Jeffrey Reed,Pharmacist,Cardio,Night,2006749265,connierose@example.net,56829,7/17/2024,Resigned
8093,Kurt Jones,Technician,Cardio,Morning,8226870318,sandra54@example.com,60733,2/18/2024,Resigned
8094,Autumn Davis,Pharmacist,Pedia,Morning,(226)454-6406,hornetyler@example.net,66641,10/17/2024,Resigned
8095,Danny Phillips,Cleaner,Pedia,Evening,542.869.8705x78614,garygarcia@example.com,40750,10/20/2022,Active
8096,Eric Patterson,Nurse,Onco,Evening,300-481-7926x2716,amanda41@example.com,62658,11/18/2022,Active
8097,Chad Smith Jr.,Cleaner,Pedia,Evening,742.365.8700x02275,nicole33@example.net,69389,3/22/2024,Resigned
8098,Kimberly Daniels,Pharmacist,Neuro,Evening,001-992-864-5083,amy09@example.net,36325,2/5/2021,Active
8099,Christian Jarvis,Receptionist,Neuro,Night,-10970,williamray@example.com,30750,4/5/2024,Resigned
8100,Joseph Mack,Pharmacist,Ortho,Morning,+1-540-980-0438x1796,esnyder@example.org,74482,4/24/2023,Active
8101,Jason Newman DDS,Receptionist,Onco,Night,399-358-6614x900,lijoseph@example.org,50516,5/18/2024,Resigned
8102,Christian Farmer,Nurse,Ortho,Night,(334)386-7757x534,ufritz@example.com,27140,5/15/2023,Active
8103,William Lopez,Cleaner,Cardio,Evening,7114617448,corey06@example.org,53635,9/22/2024,Resigned
8104,Catherine Pierce,Technician,Neuro,Night,595-846-9180x366,patrickreid@example.com,36784,8/6/2021,Active
8105,Angela Mitchell,Nurse,Neuro,Evening,259.773.2947,padams@example.com,55296,4/15/2021,Active
8106,Rebecca Ferguson,Receptionist,Neuro,Evening,992.825.8165,xshepherd@example.org,64036,9/15/2021,Resigned
8107,Alexis Salazar,Cleaner,Neuro,Night,2767833474,larsenjeremy@example.org,31695,7/21/2021,Active
8108,John Hoffman,Pharmacist,Ortho,Morning,355.922.7383,robert52@example.org,41913,10/2/2023,Active
8109,Mr. Tyler Castaneda II,Pharmacist,Ortho,Morning,(448)660-2526x677,woodchristopher@example.net,25213,5/31/2022,Active
8110,Lisa Combs,Pharmacist,Neuro,Morning,+1-771-684-0115x212,barbara28@example.net,54209,11/15/2020,Active
8111,Nicholas Wilkerson,Nurse,Ortho,Evening,908.415.5394x39964,vbailey@example.com,46927,10/12/2024,Active
8112,Rachel Murphy,Cleaner,Cardio,Night,001-206-633-4571x5810,icamacho@example.org,40410,9/22/2023,Resigned
8113,Susan Walsh,Receptionist,Ortho,Morning,(878)707-1911x82047,rprice@example.org,39662,11/1/2023,Resigned
8114,Misty Hernandez,Nurse,Ortho,Night,+1-754-227-9282x514,hayesgregory@example.net,39534,11/7/2023,Resigned
8115,Adam Taylor,Nurse,Neuro,Night,701.490.1876,jacqueline72@example.net,55186,9/29/2023,Active
8116,Danielle Summers,Receptionist,Onco,Evening,(570)353-5695x354,adamlong@example.org,35503,6/20/2023,Active
8117,Laura Young,Nurse,Ortho,Night,411-250-3027x3763,jessicajohnson@example.net,61595,7/6/2025,Active
8118,Leslie Moore,Cleaner,Neuro,Morning,(303)569-6643x587,stanleyevans@example.org,75766,10/18/2023,Resigned
8119,Austin Ross,Technician,Ortho,Evening,3305717727,likristine@example.com,50000,2/14/2023,Resigned
8120,Sheila Medina,Nurse,Neuro,Night,-10676,alyssa85@example.net,57935,6/21/2021,Active
8121,Melissa Henry,Receptionist,Ortho,Morning,766.421.9532x3956,gregorydavid@example.net,45710,12/9/2023,Active
8122,Spencer Pollard DVM,Pharmacist,Cardio,Morning,(739)427-0263,brewerjulie@example.com,55235,10/11/2022,Resigned
8123,Toni Hill,Technician,Pedia,Night,(557)943-2332x90936,jerryjackson@example.org,33959,4/4/2022,Active
8124,Brooke Chase,Nurse,Pedia,Morning,258-345-7811x185,douglas26@example.net,31518,8/30/2022,Active
8125,John Morales,Technician,Onco,Evening,-9897,maldonadotravis@example.net,24829,6/7/2023,Active
8126,Chelsey Parker,Receptionist,Onco,Night,531.828.1669,smcdonald@example.net,41105,1/22/2021,Resigned
8127,Christopher Hoffman,Cleaner,Pedia,Night,+1-386-905-8445x2806,cookaustin@example.com,70865,12/2/2024,Active
8128,Timothy Harris,Receptionist,Pedia,Morning,(450)670-0750,brownvictoria@example.net,68064,12/29/2021,Resigned
8129,Hector Myers,Nurse,Ortho,Evening,8208026868,james96@example.org,31098,8/23/2024,Active
8130,Hailey Smith,Technician,Cardio,Morning,3758560767,hernandezcole@example.com,50199,5/18/2021,Active
8131,Aaron Johnson,Cleaner,Pedia,Morning,4162521477,brownamy@example.com,36910,8/18/2024,Resigned
8132,John Salas,Receptionist,Neuro,Night,895-821-8306,gailbrooks@example.net,20137,5/8/2025,Resigned
8133,Ryan Mckay,Nurse,Neuro,Night,458-237-9656x56378,shannon67@example.org,79320,10/27/2020,Resigned
8134,Tony Porter,Technician,Ortho,Evening,451-356-7950,vanessaarias@example.net,43512,3/14/2021,Active
8135,Jeffrey Page,Receptionist,Pedia,Evening,468-508-8697x304,rclarke@example.org,29850,10/18/2021,Resigned
8136,Angela Allen,Pharmacist,Pedia,Night,(500)605-8124x44316,kylesanchez@example.org,20315,3/10/2022,Active
8137,Edward Jordan,Technician,Neuro,Evening,883-429-3287x86419,gonzalezmichael@example.org,68679,7/1/2025,Resigned
8138,Mathew Mcknight,Cleaner,Ortho,Night,243.785.4963,fjohnson@example.net,41375,4/6/2023,Active
8139,Jeffrey Lewis,Nurse,Ortho,Morning,796-927-7380,haleheather@example.com,33648,3/17/2022,Active
8140,Randy Chen,Technician,Ortho,Night,683.251.5694x96906,christophererickson@example.org,60659,4/7/2025,Resigned
8141,Joshua Pitts,Nurse,Cardio,Evening,846-272-7474,suzanneserrano@example.net,33022,11/12/2020,Resigned
8142,Stephanie Bernard,Cleaner,Ortho,Morning,+1-916-855-6362x527,vanessawagner@example.org,55060,4/27/2024,Active
8143,Paula Collins,Technician,Neuro,Evening,724.601.8508x3248,josephmarshall@example.net,33666,2/18/2025,Resigned
8144,Kimberly Morales,Receptionist,Onco,Morning,580-456-1494,heidi95@example.org,32095,6/15/2021,Active
8145,Christina Owens,Receptionist,Onco,Night,+1-321-574-3228x49908,kayla82@example.net,29406,8/31/2023,Resigned
8146,James Frazier,Technician,Pedia,Evening,873-353-9346x3143,michael91@example.com,49761,3/5/2024,Active
8147,Jennifer Cameron,Technician,Ortho,Night,001-705-937-3313x972,larryboyer@example.com,32817,9/25/2023,Active
8148,Andrew Johnson,Technician,Pedia,Morning,+1-606-304-0274x488,hdawson@example.com,74182,11/3/2024,Resigned
8149,Scott Sanchez,Cleaner,Ortho,Night,001-978-332-8729x5344,melissa15@example.com,77013,9/7/2023,Active
8150,Amber Hickman,Cleaner,Neuro,Night,450.354.4473,richardwatts@example.org,59215,6/9/2024,Active
8151,Mark Braun,Cleaner,Ortho,Night,+1-244-286-3900x342,mrichardson@example.net,41393,9/19/2021,Resigned
8152,Amanda Jimenez,Pharmacist,Neuro,Night,3768312127,marc90@example.com,59487,12/30/2023,Active
8153,Martha Turner,Receptionist,Cardio,Evening,7173896737,alejandro48@example.com,72087,3/27/2024,Resigned
8154,Shawn Myers,Cleaner,Ortho,Night,+1-370-957-0675x182,ndiaz@example.org,61812,7/16/2022,Resigned
8155,Ms. Laura Taylor,Nurse,Neuro,Evening,8792728658,xfuller@example.com,51880,4/11/2021,Resigned
8156,Brianna Richards,Receptionist,Pedia,Morning,434.477.0904x43700,jill29@example.org,72959,5/24/2022,Resigned
8157,Cynthia Becker,Cleaner,Cardio,Night,+1-747-351-0511x483,tammysimmons@example.com,61733,4/22/2021,Active
8158,Phillip Hardin,Technician,Onco,Night,845.620.7625,castillojoshua@example.com,79499,3/9/2021,Active
8159,Amber Taylor,Technician,Onco,Morning,868.628.5914,richard04@example.org,77301,7/9/2023,Active
8160,Barbara Byrd,Receptionist,Pedia,Evening,454-787-3019,nshelton@example.org,56246,9/25/2024,Active
8161,Tony Johnson,Pharmacist,Pedia,Morning,-1665,herreralisa@example.com,61594,4/23/2022,Resigned
8162,Sarah Lopez,Cleaner,Cardio,Morning,(217)571-7214,adam34@example.net,39680,1/30/2021,Active
8163,Olivia Oneill,Technician,Neuro,Night,(556)926-8299x23965,vasquezthomas@example.org,77882,11/12/2024,Resigned
8164,Kenneth Hodge,Pharmacist,Onco,Night,-9582,laura67@example.org,72975,12/27/2022,Resigned
8165,Angela Hensley,Receptionist,Pedia,Morning,324-961-7091x1541,garysmith@example.org,49278,2/7/2023,Resigned
8166,Jason Brooks,Pharmacist,Onco,Night,001-414-202-3141x781,elizabeth73@example.org,63181,4/13/2023,Active
8167,Christine Crawford,Technician,Ortho,Evening,(602)299-8992x5254,sanchezmichelle@example.org,27100,12/11/2024,Resigned
8168,Michael Kramer,Nurse,Cardio,Evening,001-812-377-2860x69289,jackwest@example.com,70245,9/19/2023,Active
8169,Aaron Rodgers,Technician,Neuro,Night,842.457.3840x57298,vjames@example.com,43691,9/1/2023,Resigned
8170,Christine Harrell,Receptionist,Ortho,Morning,297.552.4466,mfitzpatrick@example.net,45962,11/16/2020,Resigned
8171,Brian Zimmerman,Technician,Neuro,Night,520.950.8191x1244,gonzalezanthony@example.net,75099,8/27/2022,Active
8172,Katie Montgomery,Receptionist,Ortho,Evening,626-846-8424,younglisa@example.com,63473,5/20/2025,Active
8173,Pamela Adams,Pharmacist,Neuro,Night,+1-308-883-7754x267,josehicks@example.net,62829,10/15/2020,Resigned
8174,Lori Griffin,Technician,Ortho,Evening,895.507.4687,leemartinez@example.net,76560,9/7/2024,Active
8175,Jennifer Jimenez,Pharmacist,Pedia,Evening,505.297.0378x97096,iross@example.com,78176,1/5/2025,Active
8176,Jonathan Estrada,Receptionist,Ortho,Night,481-202-3730,mcknightkimberly@example.com,36902,5/20/2022,Active
8177,Roger Gonzales,Cleaner,Pedia,Night,884-410-5559x45154,megan80@example.org,63298,9/26/2021,Resigned
8178,Michelle Bush,Pharmacist,Neuro,Night,5168961499,dpeterson@example.org,77169,5/13/2025,Active
8179,Alicia Sweeney,Technician,Ortho,Evening,-5717,jeremyarmstrong@example.com,77157,4/28/2023,Active
8180,Tara Owens,Nurse,Neuro,Night,4823922866,kirbydominique@example.net,23460,6/25/2024,Resigned
8181,Matthew Wyatt,Nurse,Pedia,Night,569-734-8277,oortega@example.net,51599,6/15/2024,Resigned
8182,Nicholas Boyd,Nurse,Cardio,Night,901.694.9871x8883,vlindsey@example.com,67394,4/21/2025,Resigned
8183,Lauren Jarvis,Technician,Ortho,Evening,(587)532-7936x57407,heatherdavila@example.com,65076,6/25/2023,Active
8184,Shawn Butler,Technician,Pedia,Morning,813.956.6748x010,derrick79@example.org,44618,7/10/2022,Resigned
8185,David Ramsey,Receptionist,Neuro,Evening,(339)266-6816,mayodeborah@example.org,25936,2/15/2022,Active
8186,Dana Shepard DVM,Technician,Cardio,Evening,001-507-613-4329,dylanhunter@example.org,67441,4/24/2025,Resigned
8187,Annette Baldwin,Receptionist,Onco,Morning,894.937.0935x014,nmitchell@example.net,51399,1/29/2023,Active
8188,Jessica Brown,Receptionist,Pedia,Evening,-10775,jamesconrad@example.org,79750,9/13/2024,Resigned
8189,Tiffany Hernandez,Technician,Neuro,Morning,+1-778-217-8809x70454,victor38@example.org,59240,6/13/2023,Resigned
8190,Matthew Dillon,Nurse,Cardio,Night,(706)392-0787,tammymendez@example.com,28565,11/24/2024,Active
8191,Dylan Williams,Pharmacist,Ortho,Night,+1-697-915-9688x413,nicholaspierce@example.com,24678,2/23/2023,Resigned
8192,Russell Thomas,Nurse,Neuro,Night,786-554-0753x30134,theresa16@example.org,42161,6/16/2024,Resigned
8193,Mark Underwood,Cleaner,Onco,Night,547.377.9659,perezdenise@example.com,53281,5/26/2023,Resigned
8194,Virginia Chen,Receptionist,Neuro,Morning,803-389-2887x39897,charlesvance@example.org,50402,7/20/2022,Active
8195,Samuel Waller,Nurse,Pedia,Evening,(492)257-5409,john38@example.com,48812,12/1/2021,Active
8196,Mary Mckinney,Technician,Onco,Evening,001-243-865-4170x14793,christophersullivan@example.org,36280,5/20/2025,Active
8197,Hannah Wolfe,Cleaner,Cardio,Night,526-530-4238x259,rossmichael@example.com,48068,11/6/2022,Resigned
8198,Chris Richardson,Nurse,Pedia,Night,(558)692-3932x0028,jefferysmith@example.org,69870,10/16/2022,Active
8199,Benjamin Butler,Cleaner,Neuro,Night,788.874.3580,johnsonlisa@example.org,69706,11/12/2022,Active
8200,Andrew Dixon,Nurse,Onco,Morning,570.727.5523,nwhite@example.com,65024,9/12/2021,Resigned
8201,Molly Hodges,Cleaner,Ortho,Evening,289-314-9667x02358,lisahoward@example.net,63452,10/2/2022,Resigned
8202,Oscar Fields,Cleaner,Onco,Morning,(933)283-3325,nicoleboyle@example.net,42603,1/30/2021,Active
8203,Matthew Owen,Nurse,Cardio,Morning,433.417.3500x99177,shannon15@example.org,32527,5/25/2023,Active
8204,Dennis Smith,Receptionist,Neuro,Morning,568-549-9039,mpalmer@example.org,27131,2/14/2022,Resigned
8205,Elizabeth Edwards,Cleaner,Pedia,Night,260-522-1382,lori41@example.org,68056,3/9/2023,Resigned
8206,Anne Hardy,Pharmacist,Cardio,Morning,263.581.6716x0277,annagarcia@example.org,72262,3/9/2023,Active
8207,Kevin Carlson,Pharmacist,Ortho,Night,7938070720,haroldgreene@example.com,24345,1/18/2022,Resigned
8208,Susan Myers,Pharmacist,Pedia,Evening,+1-421-550-3551x28496,sarah67@example.net,59913,6/13/2023,Resigned
8209,Brent Ramirez,Pharmacist,Pedia,Night,506-302-3694x8067,eelliott@example.com,52571,1/30/2023,Resigned
8210,Miss April Martinez,Technician,Cardio,Evening,(995)647-9360,tammywalter@example.org,54503,1/30/2021,Resigned
8211,Matthew Cameron,Receptionist,Pedia,Morning,(602)262-0488x3950,christopherwillis@example.com,37949,4/11/2023,Resigned
8212,Kimberly Hood,Technician,Onco,Morning,(993)655-2215x0352,cynthia32@example.net,77515,3/11/2021,Resigned
8213,Kelly Davis,Pharmacist,Neuro,Morning,921-270-8106x494,yporter@example.com,30785,10/12/2020,Active
8214,Marcus Taylor,Technician,Onco,Evening,(557)778-5943x519,aaronsmith@example.org,54912,12/22/2023,Active
8215,Patrick Castaneda,Technician,Onco,Morning,915.315.3830x1293,michael39@example.org,26419,10/29/2024,Active
8216,Monique Harrison,Pharmacist,Ortho,Night,987.782.5326x32068,alexanderteresa@example.com,47158,4/18/2023,Resigned
8217,Mariah Alexander,Receptionist,Cardio,Night,767.968.9854,blairerin@example.net,53046,7/16/2023,Resigned
8218,Logan Johnson,Technician,Pedia,Night,661.720.1666x43676,elizabeth42@example.net,43899,7/10/2021,Active
8219,Eric Scott,Technician,Pedia,Morning,(436)577-4670x5410,haleywhitney@example.org,40002,5/22/2024,Resigned
8220,Heidi Wilcox,Pharmacist,Neuro,Night,892.416.5381x066,patrick02@example.com,40854,7/21/2024,Resigned
8221,Ronald Carr,Receptionist,Onco,Night,594.677.9501x84054,benjamin51@example.org,51068,6/17/2025,Active
8222,Darren Jones,Pharmacist,Ortho,Morning,265-238-6612,gabrielle14@example.com,63273,7/3/2025,Resigned
8223,Heather Smith,Nurse,Neuro,Night,001-504-387-7725x77292,mramirez@example.net,47776,1/5/2024,Active
8224,Clarence Lee,Cleaner,Pedia,Morning,954.479.8784x145,amy67@example.com,28863,1/19/2024,Active
8225,Tyrone Stevens,Technician,Ortho,Night,(543)519-0622x48875,denisestewart@example.com,35555,7/1/2021,Active
8226,Deborah Robinson,Receptionist,Ortho,Night,(765)490-7021x7625,smithmargaret@example.org,44287,1/14/2023,Active
8227,Christopher Wilson,Nurse,Neuro,Evening,(847)261-6241x99419,lcooley@example.net,72811,4/15/2024,Resigned
8228,Jamie Rodriguez,Nurse,Ortho,Evening,811-202-6860,rsilva@example.org,20753,10/20/2021,Active
8229,Jonathan Choi,Nurse,Ortho,Morning,961.261.0622x18815,prestonmichael@example.org,28199,2/6/2024,Active
8230,Monica Price,Receptionist,Ortho,Night,(893)713-4494x510,ymarsh@example.com,33019,12/26/2022,Active
8231,Jamie Blake,Cleaner,Cardio,Night,629.699.4969x764,kevinharmon@example.org,30171,9/19/2020,Resigned
8232,Justin Smith,Nurse,Cardio,Evening,349-989-3972,toddallen@example.net,23035,1/13/2022,Resigned
8233,Jaclyn Graham,Technician,Cardio,Morning,839-450-8261x81809,josephward@example.com,36188,5/8/2023,Resigned
8234,James Ruiz,Pharmacist,Pedia,Morning,546-240-7090x373,sullivanbrendan@example.org,54398,10/13/2022,Active
8235,April Saunders,Nurse,Ortho,Morning,(947)260-5384,twilliams@example.net,70130,10/13/2023,Resigned
8236,Rebecca Trujillo,Pharmacist,Cardio,Evening,882.742.5259x230,michael34@example.com,43454,8/9/2025,Resigned
